"";"name";"codeInsee";"codeDepartement";"codeRegion";"population";"surface";"lat";"long"
"268";"Sainte-Sève";"29265";"29";"53";944;1003;48,5572550493119;-3,88856390566835
"269";"Saint-Thois";"29267";"29";"53";708;1794;48,1513160143153;-3,9076707152897
"270";"Saint-Thonan";"29268";"29";"53";1568;1141;48,4790426230676;-4,32719660798223
"271";"Saint-Thurien";"29269";"29";"53";1030;2143;47,9594615973501;-3,61940937137469
"272";"Saint-Urbain";"29270";"29";"53";1610;1523;48,3916351734095;-4,2271206227649
"273";"Saint-Vougay";"29271";"29";"53";916;1494;48,5899414499021;-4,14613894597472
"274";"Saint-Yvi";"29272";"29";"53";2939;2739;47,9595455752926;-3,94400272429218
"275";"Santec";"29273";"29";"53";2335;813;48,7028904801359;-4,03782200841032
"276";"Scaër";"29274";"29";"53";5361;11789;48,019651666053;-3,72387596674681
"277";"Scrignac";"29275";"29";"53";807;7052;48,4221125657252;-3,67082662400391
"278";"Sibiril";"29276";"29";"53";1234;1163;48,6641150883672;-4,0691121377391
"279";"Sizun";"29277";"29";"53";2245;5922;48,4020548407681;-4,03930497828485
"280";"Spézet";"29278";"29";"53";1800;6146;48,1877424770379;-3,694237924787
"281";"Taulé";"29279";"29";"53";2985;2972;48,6017650118735;-3,90323612757842
